ProblemType,NumRequests,Year,AvgDaysToClose,%ReportedBySeeClickFix,,
IllegalDumping,3000,2009,1,0,,
BuildingMaintenance,500,2009,5,0,,
Electrical,1000,2009,1,0,,
StreetSweeping,100,2009,50,0,,
RoadRepair,400,2009,20,0,,
VegetationControl,50,2009,7,0,,
Graffiti,100,2009,5,0,,
Survey,50,2009,15,0,,
Drainage,50,2009,1,0,,
StreetLights,50,2009,10,0,,
IllegalDumping,5000,2010,1,10,,
BuildingMaintenance,2400,2010,5,2,,
Electrical,3000,2010,1,5,,
StreetSweeping,400,2010,50,15,,
RoadRepair,500,2010,20,5,,
VegetationControl,50,2010,7,10,,
Graffiti,950,2010,5,5,,
Survey,50,2010,15,5,,
Drainage,150,2010,1,15,,
StreetLights,50,2010,10,20,,
IllegalDumping,6500,2011,1,20,,
BuildingMaintenance,4000,2011,5,10,,
Electrical,3200,2011,1,10,,
StreetSweeping,1000,2011,50,20,,
RoadRepair,750,2011,20,10,,
VegetationControl,50,2011,7,10,,
Graffiti,900,2011,5,40,,
Survey,50,2011,15,10,,
Drainage,300,2011,1,20,,
StreetLights,50,2011,10,25,,
IllegalDumping,7200,2012,1,45,,
BuildingMaintenance,4500,2012,5,15,,
Electrical,3300,2012,1,20,,
StreetSweeping,1100,2012,50,30,,
RoadRepair,900,2012,20,20,,
VegetationControl,50,2012,7,15,,
Graffiti,1000,2012,5,55,,
Survey,50,2012,15,10,,
Drainage,400,2012,1,25,,
StreetLights,100,2012,10,30,,
