Department,Month,MonthNumber,Budget,Actual
Information Technology,Jan,1,450,463
Executive,Jan,1,250,246
Facilities,Jan,1,190,193
Finance,Jan,1,100,96
Human Resources,Jan,1,50,51
Marketing,Jan,1,100,99
Sales,Jan,1,510,524
Technical Support,Jan,1,35,29
Information Technology,Feb,2,450,472
Executive,Feb,2,255,253
Facilities,Feb,2,190,195
Finance,Feb,2,100,95
Human Resources,Feb,2,50,64
Marketing,Feb,2,100,97
Sales,Feb,2,475,458
Technical Support,Feb,2,35,28
Information Technology,Mar,3,470,483
Executive,Mar,3,260,375
Facilities,Mar,3,180,186
Finance,Mar,3,100,95
Human Resources,Mar,3,50,58
Marketing,Mar,3,100,95
Sales,Mar,3,475,467
Technical Support,Mar,3,35,28
Information Technology,Apr,4,475,488
Executive,Apr,4,265,376
Facilities,Apr,4,170,174
Finance,Apr,4,110,98
Human Resources,Apr,4,51,53
Marketing,Apr,4,100,97
Sales,Apr,4,505,503
Technical Support,Apr,4,36,27
Information Technology,May,5,475,490
Executive,May,5,270,384
Facilities,May,5,170,166
Finance,May,5,110,101
Human Resources,May,5,51,50
Marketing,May,5,100,104
Sales,May,5,480,489
Technical Support,May,5,36,26
Information Technology,Jun,6,500,534
Executive,Jun,6,275,388
Facilities,Jun,6,180,168
Finance,Jun,6,110,109
Human Resources,Jun,6,51,50
Marketing,Jun,6,100,152
Sales,Jun,6,480,480
Technical Support,Jun,6,36,26
Information Technology,Jul,7,500,557
Executive,Jul,7,280,394
Facilities,Jul,7,190,200
Finance,Jul,7,120,110
Human Resources,Jul,7,52,48
Marketing,Jul,7,100,89
Sales,Jul,7,510,512
Technical Support,Jul,7,37,25
Information Technology,Aug,8,500,563
Executive,Aug,8,290,394
Facilities,Aug,8,200,210
Finance,Aug,8,120,112
Human Resources,Aug,8,52,47
Marketing,Aug,8,100,90
Sales,Aug,8,485,479
Technical Support,Aug,8,37,25
Information Technology,Sep,9,500,552
Executive,Sep,9,300,394
Facilities,Sep,9,200,208
Finance,Sep,9,120,112
Human Resources,Sep,9,52,49
Marketing,Sep,9,100,86
Sales,Sep,9,485,484
Technical Support,Sep,9,37,26
Information Technology,Oct,10,500,542
Executive,Oct,10,305,396
Facilities,Oct,10,190,183
Finance,Oct,10,120,113
Human Resources,Oct,10,53,50
Marketing,Oct,10,100,93
Sales,Oct,10,515,514
Technical Support,Oct,10,38,25
Information Technology,Nov,11,500,263
Executive,Nov,11,310,201
Facilities,Nov,11,190,87
Finance,Nov,11,120,66
Human Resources,Nov,11,53,25
Marketing,Nov,11,150,73
Sales,Nov,11,490,247
Technical Support,Nov,11,38,13
Information Technology,Dec,12,500,
Executive,Dec,12,400,
Facilities,Dec,12,200,
Finance,Dec,12,120,
Human Resources,Dec,12,53,
Marketing,Dec,12,150,
Sales,Dec,12,490,
Technical Support,Dec,12,38,
